znamka,letnik,prevozenih,tip_motorja,moc_motorja,menjalnik,cena
Lamborghini Huracan Spyder LP 610-4 VOZI...,2016,27000,bencinski motor,449,avtomatski menjalnik,327.6
Rolls-Royce Wraith ZALOGA,2014,52000,bencinski motor,465,avtomatski menjalnik,327.6
Lamborghini Huracan LP 580-2 VSA DODATNA...,2017,25500,bencinski motor,426,avtomatski menjalnik,258.9
Lamborghini Huracan LP 580-2 VSA DODATNA...,2017,25500,bencinski motor,426,avtomatski menjalnik,258.9
McLaren - 570GT VSA DODATNA OPREMA  VOZI...,2016,12000,bencinski motor,419,avtomatski menjalnik,222.777
Audi R8 QUATTRO-R8 PLUS 610PS-CARBON+-30...,2015,30000,bencinski motor,449,avtomatski menjalnik,152.0
Mercedes-Benz S-Razred S 63 AMG-4-MATIC-...,2015,38410,bencinski motor,430,avtomatski menjalnik,147.885
Mercedes-Benz S-Razred S 63 AMG-4-MATIC-...,2015,48552,bencinski motor,430,avtomatski menjalnik,146.985
Land Rover Range Rover 4.4 SdV8 Autobiog...,2017,9500,diesel motor,250,avtomatski menjalnik / tiptronic,144.98
Porsche Cayenne S Tiptronic,2017,22425,bencinski motor,324,avtomatski menjalnik / tiptronic,
Porsche Panamera 4S Diesel Turbo-look MA...,2017,16540,diesel motor,310,avtomatski menjalnik,142.0
Porsche Panamera 4S D TURBO LED BOSE RAD...,2017,15000,diesel motor,310,avtomatski menjalnik,139.97
Porsche 911 Carrera 4S Coupé PDK,2016,10500,bencinski motor,309,roèni menjalnik (5 pr.),139.9
Audi A8 50 TDI quattro Tiptronic,2018,10000,bencinski motor,309,avtomatski menjalnik,129.97
Ferrari California 4.3+KERAMIKA.NA ZALOG...,2010,20000,bencinski motor,338,avtomatski menjalnik / tiptronic,125.9
Audi SQ7 4.0 TDI quattro,2017,32241,diesel motor,320,avtomatski menjalnik / tiptronic,
BMW serija 7: 730d xDrive Avt. LASER LUÈ...,2016,67,diesel motor,195,avtomatski menjalnik / tiptronic,124.8
Audi R8 Spyder quattro 5.2 R tronic FSI ...,2011,56000,bencinski motor,386,avtomatski menjalnik / tiptronic,123.999
Audi A8 50 TDI quattro  DYNAM.ZRAÈNE B. ...,2018,7000,diesel motor,210,avtomatski menjalnik / tiptronic,122.99
Porsche Macan Turbo Performance 3.6 V6 P...,2017,13100,bencinski motor,324,avtomatski menjalnik,121.9
Audi R8 quattro 5.2 FSI +XENON+NAVI+ALKA...,2013,60062,bencinski motor,386,roèni menjalnik (6 pr.),119.911
Porsche Panamera 4 Sport Turismo PDK ,2017,22184,bencinski motor,243,avtomatski menjalnik,117.88
Porsche Cayenne Tiptronic,2018,6580,bencinski motor,250,avtomatski menjalnik / tiptronic,
Audi Q8 quattro 50 TDI Tiptronic,2018,380,diesel motor,190,avtomatski menjalnik,112.0
Audi SQ7 4.0 TDI Q PANO LM21 ACC MATRIX ...,2017,13900,diesel motor,320,avtomatski menjalnik / tiptronic,110.57
BMW serija 7: 740Le xDrive iPerformance ...,2017,5273,hibridni pogon,190,avtomatski menjalnik / tiptronic,109.94
Mercedes-Benz S-Razred S 350 d AMG Line ...,2018,20309,diesel motor,210,avtomatski menjalnik,103.49
BMW serija 7: 740d xDrive Avt. M paket S...,2017,29900,diesel motor,235,avtomatski menjalnik / tiptronic,102.38
Mercedes-Benz S-Razred S 350 d 4M L AMG ...,2017,7000,diesel motor,210,avtomatski menjalnik,99.97
Porsche 911 Carrera Coupé,2017,6000,bencinski motor,272,avtomatski menjalnik,
Maserati Levante ACC NAV PDC KAM 19 No3 ...,2016,10,diesel motor,202,avtomatski menjalnik,98.982
Porsche Cayenne E HYBRID . PANORAMA BLAC...,2017,34000,hibridni pogon,245,avtomatski menjalnik / tiptronic,98.9
Land Rover Range Rover Sport 3.0 SDV6 HS...,2017,4024,diesel motor,280,avtomatski menjalnik,94.44
BMW serija 5: M550dA xDrive M-SportLED...,2018,25000,diesel motor,294,avtomatski menjalnik,93.99
BMW serija X5: M50d Avt.,2017,62000,diesel motor,280,avtomatski menjalnik,93.99
Mercedes-Benz GLS-Razred GLS 350 d 4MATI...,2017,20400,diesel motor,190,avtomatski menjalnik,93.99
Maserati Levante 3.0 V6 D GranSport Le 1...,2018,18000,diesel motor,202,avtomatski menjalnik / tiptronic,92.88
Tesla Model S P85D 700KM-3.3s do 100 ZAL...,2015,53400,elektro pogon,365,roèni menjalnik (6 pr.),92.0
BMW serija X6: xDrive 40d Avt. M-Pack 3....,2017,4587,diesel motor,230,avtomatski menjalnik,91.84
BMW M4 Cabrio-M COMPETITION-PERFORMANCE-...,2018,16500,bencinski motor,331,avtomatski menjalnik,91.5
Ford - F350 V8 AUT. SUPER DUTY POWER STR...,2014,19000,diesel motor,294,avtomatski menjalnik,91.0
Audi Q7 quattro 3.0 TDI S-LINE.VIRT.COCK...,2017,10000,diesel motor,200,avtomatski menjalnik / tiptronic,89.99
Audi A7 50 TDI-Q-SLO-3X-S-LINE-ZRAÈNO-PA...,2018,4521,diesel motor,210,avtomatski menjalnik / tiptronic,89.975
BMW M6 Gran Coupé Avt.,2016,62000,bencinski motor,412,avtomatski menjalnik,89.96
Lamborghini Huracan Spyder LP 610-4 VOZI...,2016,27000,bencinski motor,449,avtomatski menjalnik,327.6
Rolls-Royce Wraith ZALOGA,2014,52000,bencinski motor,465,avtomatski menjalnik,327.6
Lamborghini Huracan LP 580-2 VSA DODATNA...,2017,25500,bencinski motor,426,avtomatski menjalnik,258.9
Lamborghini Huracan LP 580-2 VSA DODATNA...,2017,25500,bencinski motor,426,avtomatski menjalnik,258.9
McLaren - 570GT VSA DODATNA OPREMA  VOZI...,2016,12000,bencinski motor,419,avtomatski menjalnik,222.777
Audi R8 QUATTRO-R8 PLUS 610PS-CARBON+-30...,2015,30000,bencinski motor,449,avtomatski menjalnik,152.0
Mercedes-Benz S-Razred S 63 AMG-4-MATIC-...,2015,38410,bencinski motor,430,avtomatski menjalnik,147.885
Mercedes-Benz S-Razred S 63 AMG-4-MATIC-...,2015,48552,bencinski motor,430,avtomatski menjalnik,146.985
Land Rover Range Rover 4.4 SdV8 Autobiog...,2017,9500,diesel motor,250,avtomatski menjalnik / tiptronic,144.98
Porsche Cayenne S Tiptronic,2017,22425,bencinski motor,324,avtomatski menjalnik / tiptronic,
Porsche Panamera 4S Diesel Turbo-look MA...,2017,16540,diesel motor,310,avtomatski menjalnik,142.0
Porsche Panamera 4S D TURBO LED BOSE RAD...,2017,15000,diesel motor,310,avtomatski menjalnik,139.97
Porsche 911 Carrera 4S Coupé PDK,2016,10500,bencinski motor,309,roèni menjalnik (5 pr.),139.9
Audi A8 50 TDI quattro Tiptronic,2018,10000,bencinski motor,309,avtomatski menjalnik,129.97
Ferrari California 4.3+KERAMIKA.NA ZALOG...,2010,20000,bencinski motor,338,avtomatski menjalnik / tiptronic,125.9
Audi SQ7 4.0 TDI quattro,2017,32241,diesel motor,320,avtomatski menjalnik / tiptronic,
BMW serija 7: 730d xDrive Avt. LASER LUÈ...,2016,67,diesel motor,195,avtomatski menjalnik / tiptronic,124.8
Audi R8 Spyder quattro 5.2 R tronic FSI ...,2011,56000,bencinski motor,386,avtomatski menjalnik / tiptronic,123.999
Audi A8 50 TDI quattro  DYNAM.ZRAÈNE B. ...,2018,7000,diesel motor,210,avtomatski menjalnik / tiptronic,122.99
Porsche Macan Turbo Performance 3.6 V6 P...,2017,13100,bencinski motor,324,avtomatski menjalnik,121.9
Audi R8 quattro 5.2 FSI +XENON+NAVI+ALKA...,2013,60062,bencinski motor,386,roèni menjalnik (6 pr.),119.911
Porsche Panamera 4 Sport Turismo PDK ,2017,22184,bencinski motor,243,avtomatski menjalnik,117.88
Porsche Cayenne Tiptronic,2018,6580,bencinski motor,250,avtomatski menjalnik / tiptronic,
Audi Q8 quattro 50 TDI Tiptronic,2018,380,diesel motor,190,avtomatski menjalnik,112.0
Audi SQ7 4.0 TDI Q PANO LM21 ACC MATRIX ...,2017,13900,diesel motor,320,avtomatski menjalnik / tiptronic,110.57
BMW serija 7: 740Le xDrive iPerformance ...,2017,5273,hibridni pogon,190,avtomatski menjalnik / tiptronic,109.94
Mercedes-Benz S-Razred S 350 d AMG Line ...,2018,20309,diesel motor,210,avtomatski menjalnik,103.49
BMW serija 7: 740d xDrive Avt. M paket S...,2017,29900,diesel motor,235,avtomatski menjalnik / tiptronic,102.38
Mercedes-Benz S-Razred S 350 d 4M L AMG ...,2017,7000,diesel motor,210,avtomatski menjalnik,99.97
Porsche 911 Carrera Coupé,2017,6000,bencinski motor,272,avtomatski menjalnik,
Maserati Levante ACC NAV PDC KAM 19 No3 ...,2016,10,diesel motor,202,avtomatski menjalnik,98.982
Porsche Cayenne E HYBRID . PANORAMA BLAC...,2017,34000,hibridni pogon,245,avtomatski menjalnik / tiptronic,98.9
Land Rover Range Rover Sport 3.0 SDV6 HS...,2017,4024,diesel motor,280,avtomatski menjalnik,94.44
BMW serija 5: M550dA xDrive M-SportLED...,2018,25000,diesel motor,294,avtomatski menjalnik,93.99
BMW serija X5: M50d Avt.,2017,62000,diesel motor,280,avtomatski menjalnik,93.99
Mercedes-Benz GLS-Razred GLS 350 d 4MATI...,2017,20400,diesel motor,190,avtomatski menjalnik,93.99
Maserati Levante 3.0 V6 D GranSport Le 1...,2018,18000,diesel motor,202,avtomatski menjalnik / tiptronic,92.88
Tesla Model S P85D 700KM-3.3s do 100 ZAL...,2015,53400,elektro pogon,365,roèni menjalnik (6 pr.),92.0
BMW serija X6: xDrive 40d Avt. M-Pack 3....,2017,4587,diesel motor,230,avtomatski menjalnik,91.84
BMW M4 Cabrio-M COMPETITION-PERFORMANCE-...,2018,16500,bencinski motor,331,avtomatski menjalnik,91.5
Ford - F350 V8 AUT. SUPER DUTY POWER STR...,2014,19000,diesel motor,294,avtomatski menjalnik,91.0
Audi Q7 quattro 3.0 TDI S-LINE.VIRT.COCK...,2017,10000,diesel motor,200,avtomatski menjalnik / tiptronic,89.99
Audi A7 50 TDI-Q-SLO-3X-S-LINE-ZRAÈNO-PA...,2018,4521,diesel motor,210,avtomatski menjalnik / tiptronic,89.975
BMW M6 Gran Coupé Avt.,2016,62000,bencinski motor,412,avtomatski menjalnik,89.96
Lamborghini Huracan Spyder LP 610-4 VOZI...,2016,27000,bencinski motor,449,avtomatski menjalnik,327.6
Rolls-Royce Wraith ZALOGA,2014,52000,bencinski motor,465,avtomatski menjalnik,327.6
Lamborghini Huracan LP 580-2 VSA DODATNA...,2017,25500,bencinski motor,426,avtomatski menjalnik,258.9
Lamborghini Huracan LP 580-2 VSA DODATNA...,2017,25500,bencinski motor,426,avtomatski menjalnik,258.9
McLaren - 570GT VSA DODATNA OPREMA  VOZI...,2016,12000,bencinski motor,419,avtomatski menjalnik,222.777
Audi R8 QUATTRO-R8 PLUS 610PS-CARBON+-30...,2015,30000,bencinski motor,449,avtomatski menjalnik,152.0
Mercedes-Benz S-Razred S 63 AMG-4-MATIC-...,2015,38410,bencinski motor,430,avtomatski menjalnik,147.885
Mercedes-Benz S-Razred S 63 AMG-4-MATIC-...,2015,48552,bencinski motor,430,avtomatski menjalnik,146.985
